,country,ALL_Year_Pop_Weig_PM
153,New Caledonia,3.528406862745098
154,New Zealand,3.421261904761905
155,Nicaragua,14.508447242206236
156,Niger,8.997025462962963
157,Nigeria,22.413557278208444
158,Niue,0.9766666666666666
159,Norfolk Island,1.7262499999999996
160,North Korea,23.25383960573477
161,Northern Cyprus,12.253416666666666
162,Northern Mariana Islands,1.2031944444444445
163,Norway,5.236210835509138
164,Oman,12.110671768707483
165,Pakistan,30.592609375000002
166,Palau,3.549557291666667
167,Palestine,11.669036458333334
168,Panama,8.966629746835443
169,Papua New Guinea,11.513788314176244
170,Paracel Islands,10.034166666666666
171,Paraguay,14.113639143730888
172,Peru,23.840771367521366
173,Philippines,15.812333231021077
174,Pitcairn Islands,1.5304166666666668
175,Poland,21.550106359649124
176,Portugal,6.658900162337662
177,Puerto Rico,2.613135683760684
178,Qatar,24.81
179,Republic of the Congo,30.91345486111111
180,Romania,17.40289610978791
181,Russia,11.951776637341155
182,Rwanda,34.053986111111115
183,Réunion,3.017934027777778
184,"Saint Helena, Ascension and Tris",2.8513333333333337
185,Saint Kitts and Nevis,3.434732142857143
186,Saint Lucia,2.6195416666666667
187,Saint Pierre and Miquelon,3.7583333333333337
188,Saint Vincent and the Grenadines,2.7909722222222224
189,Saint-Barthélemy,2.62859649122807
190,Saint-Martin,2.649166666666667
191,Samoa,1.317470930232558
192,San Marino,13.563240740740742
193,Saudi Arabia,18.2577806122449
194,Senegal,5.698685185185185
195,Serbia,21.45715320910973
196,Seychelles,4.764647435897436
197,Sierra Leone,13.040803571428572
198,Singapore,16.623416666666667
199,Sint Maarten,2.893333333333333
200,Slovakia,19.47370780590717
201,Slovenia,16.85205512152778
202,Solomon Islands,5.647807870370371
203,Somalia,8.895213963963965
204,South Africa,18.072387820512823
205,South Georgia and the South Sand,
206,South Korea,21.086373726346434
207,South Sudan,15.027074074074076
208,Spain,7.8239663461538465
209,Spratly Islands,0.0
210,Sri Lanka,19.290523735810112
211,Sudan,9.69346875
212,Suriname,6.6352284946236555
213,Svalbard and Jan Mayen,
214,Swaziland,16.50223484848485
215,Sweden,6.42287643678161
216,Switzerland,11.960355029585799
217,Syria,18.29336111111111
218,São Tomé and Príncipe,11.699285714285717
219,Taiwan,20.648503787878788
220,Tajikistan,13.600268361581922
221,Tanzania,17.492565789473687
222,Thailand,23.504194564434844
223,Timor-Leste,10.292466397849463
224,Togo,15.979572916666665
225,Tokelau,1.6245833333333335
226,Tonga,1.5643181818181817
227,Trinidad and Tobago,4.341194444444445
228,Tunisia,9.337770989974938
229,Turkey,20.031363921779693
230,Turkmenistan,9.291278735632185
231,Turks and Caicos Islands,3.0308333333333337
232,Tuvalu,1.7718981481481482
233,Uganda,26.500810467479674
234,Ukraine,16.772932590233545
235,United Arab Emirates,16.706570512820512
236,United Kingdom,9.509663023679417
237,United States,8.485915577168367
238,United States Minor Outlying Islands,3.1558333333333337
239,Uruguay,8.422727541371158
240,Uzbekistan,17.3105625
241,Vanuatu,4.5878108465608465
242,Vatican City,14.849166666666667
243,Venezuela,13.171216715976332
244,Vietnam,25.9332382629108
245,"Virgin Islands, U.S.",2.096354166666667
246,Wallis and Futuna,1.5158333333333334
247,Western Sahara,4.008229166666666
248,Yemen,14.815066516064256
249,Zambia,21.202539855072462
250,Zimbabwe,16.338521062271063
251,Åland,5.416826923076924
